证券代码,证券名称,Date,Open,High,Low,Close,涨跌,涨跌幅%,TotalVolume,成交额
RB0,螺纹钢主力连续,2009-03-27,3550.00 ,3663.00 ,3513.00 ,3561.00 ,——,——,354590.00 ,12684250000.00 
RB0,螺纹钢主力连续,2009-03-30,3550.00 ,3580.00 ,3528.00 ,3544.00 ,-17.00 ,-0.48 ,145168.00 ,5151450000.00 
RB0,螺纹钢主力连续,2009-03-31,3538.00 ,3566.00 ,3531.00 ,3549.00 ,5.00 ,0.14 ,70592.00 ,2506000000.00 
RB0,螺纹钢主力连续,2009-04-01,3560.00 ,3561.00 ,3543.00 ,3547.00 ,-2.00 ,-0.06 ,28100.00 ,997520000.00 
RB0,螺纹钢主力连续,2009-04-02,3545.00 ,3548.00 ,3456.00 ,3473.00 ,-74.00 ,-2.09 ,235446.00 ,8197170000.00 
RB0,螺纹钢主力连续,2009-04-03,3481.00 ,3481.00 ,3436.00 ,3448.00 ,-25.00 ,-0.72 ,152376.00 ,5266920000.00 
RB0,螺纹钢主力连续,2009-04-07,3410.00 ,3518.00 ,3410.00 ,3491.00 ,43.00 ,1.25 ,242578.00 ,8447990000.00 
RB0,螺纹钢主力连续,2009-04-08,3480.00 ,3491.00 ,3456.00 ,3463.00 ,-28.00 ,-0.80 ,147288.00 ,5110330000.00 
RB0,螺纹钢主力连续,2009-04-09,3476.00 ,3486.00 ,3460.00 ,3468.00 ,5.00 ,0.14 ,87688.00 ,3045150000.00 
RB0,螺纹钢主力连续,2009-04-10,3483.00 ,3499.00 ,3470.00 ,3484.00 ,16.00 ,0.46 ,120978.00 ,4216230000.00 
RB0,螺纹钢主力连续,2009-04-13,3485.00 ,3493.00 ,3464.00 ,3469.00 ,-15.00 ,-0.43 ,109820.00 ,3823170000.00 
RB0,螺纹钢主力连续,2009-04-14,3475.00 ,3600.00 ,3469.00 ,3560.00 ,91.00 ,2.62 ,540646.00 ,19237920000.00 
RB0,螺纹钢主力连续,2009-04-15,3570.00 ,3590.00 ,3550.00 ,3562.00 ,2.00 ,0.06 ,255606.00 ,9116220000.00 
RB0,螺纹钢主力连续,2009-04-16,3582.00 ,3628.00 ,3570.00 ,3596.00 ,34.00 ,0.95 ,250464.00 ,9009790000.00 
RB0,螺纹钢主力连续,2009-04-17,3594.00 ,3648.00 ,3581.00 ,3620.00 ,24.00 ,0.67 ,339250.00 ,12288730000.00 
RB0,螺纹钢主力连续,2009-04-20,3620.00 ,3648.00 ,3608.00 ,3623.00 ,3.00 ,0.08 ,259196.00 ,9415710000.00 
RB0,螺纹钢主力连续,2009-04-21,3580.00 ,3590.00 ,3486.00 ,3524.00 ,-99.00 ,-2.73 ,332448.00 ,11767290000.00 
RB0,螺纹钢主力连续,2009-04-22,3550.00 ,3566.00 ,3508.00 ,3526.00 ,2.00 ,0.06 ,168524.00 ,5959140000.00 
RB0,螺纹钢主力连续,2009-04-23,3529.00 ,3531.00 ,3488.00 ,3513.00 ,-13.00 ,-0.37 ,130386.00 ,4573760000.00 
